"semantic_pair","package_state","proposal","approval","required_test"
"Player-HeadTrack","disabled","keep-current-until-pilot","deferred","head tracking and self raycasts"
"Player-BodyPart","disabled","keep-current-until-pilot","deferred","controller versus body receivers"
"Player-Pushable","disabled","keep-current-until-pilot","deferred","arena push interaction"
"Enemy-HeadTrack","disabled","keep-current-until-pilot","deferred","AI targeting raycasts"
"Enemy-BodyPart","disabled","keep-current-until-pilot","deferred","AI body collision"
"Enemy-Pushable","disabled","keep-current-until-pilot","deferred","AI push interaction"
"CompanionAI-CompanionAI","disabled","keep-current-until-pilot","deferred","crowd separation"
"CompanionAI-StopMove","disabled","keep-current-until-pilot","deferred","navigation stop volumes"
"CompanionAI-HeadTrack","disabled","keep-current-until-pilot","deferred","AI look targeting"
"CompanionAI-BodyPart","disabled","keep-current-until-pilot","deferred","AI body collision"
"CompanionAI-Pushable","disabled","keep-current-until-pilot","deferred","AI push interaction"
"Triggers-StopMove","disabled","keep-current-until-pilot","deferred","trigger delivery"
"Triggers-HeadTrack","disabled","keep-current-until-pilot","deferred","sensor delivery"
"Triggers-Pushable","disabled","keep-current-until-pilot","deferred","interaction triggers"
"Triggers-CoverPoint","disabled","keep-current-until-pilot","deferred","cover trigger behavior"
"StopMove-StopMove","disabled","keep-current-until-pilot","deferred","volume overlap"
"StopMove-HeadTrack","disabled","keep-current-until-pilot","deferred","raycast/volume behavior"
"StopMove-BodyPart","disabled","keep-current-until-pilot","deferred","character stop behavior"
"StopMove-Pushable","disabled","keep-current-until-pilot","deferred","pushable stop behavior"
"HeadTrack-BodyPart","disabled","keep-current-until-pilot","deferred","look raycasts"
"HeadTrack-Pushable","disabled","keep-current-until-pilot","deferred","look raycasts"
"HeadTrack-CoverPoint","disabled","keep-current-until-pilot","deferred","cover look behavior"
"BodyPart-Pushable","disabled","keep-current-until-pilot","deferred","body physical interaction"
"BlockAIRayCast-Pushable","disabled","keep-current-until-pilot","deferred","AI visibility"
"BlockAIRayCast-CoverPoint","disabled","keep-current-until-pilot","deferred","AI cover visibility"
"Pushable-Pushable","disabled","keep-current-until-pilot","deferred","pushable stacking"
"Pushable-CoverPoint","disabled","keep-current-until-pilot","deferred","cover obstruction"
"CoverPoint-CoverPoint","disabled","keep-current-until-pilot","deferred","cover marker overlap"
